Metric,Value
Net Profit,-802.00
Gross Profit,2046.00
Gross Loss,-2848.00
Profit Factor,0.72
Recovery Factor,-0.98
Sharpe Ratio,-5.00
Expected Payoff,-0.21
Balance DD,818.00
Balance DD %,8.18
Equity DD,820.00
Equity DD %,8.19
Total Trades,3871
Total Deals,7742
Profit Trades,1023
Loss Trades,2848
Win Rate %,26.43
Long Trades,1927
Short Trades,1944
Max Consecutive Wins,12
Max Consecutive Losses,-29
